39,92,98,16,74,74,49,49,49,49,49,405289.001218
74,80,39,62,31,59,18,18,18,18,18,29823.749727
23,83,79,35,4,64,12,12,12,12,12,245.946067602
3,67,73,7,37,6,85,85,85,85,85,50672.337148
89,67,40,66,32,50,63,63,63,63,63,32839.6536103
35,98,64,30,4,57,37,37,37,37,37,105.820544921
31,26,19,54,82,54,35,35,35,35,35,551437.267731
85,17,78,41,36,64,73,73,73,73,73,46802.49762
38,79,33,16,96,27,42,42,42,42,42,884771.627196
2,13,31,54,33,9,43,43,43,43,43,35974.9033824
6,36,78,20,93,87,60,60,60,60,60,804406.208907
8,78,32,14,79,52,5,5,5,5,5,493120.080927
3,58,88,66,1,5,71,71,71,71,71,149.560063337
23,44,4,94,14,79,98,98,98,98,98,2771.53363272
60,44,7,88,11,66,64,64,64,64,64,1398.81428301
13,100,64,85,12,38,43,43,43,43,43,1754.18736027
81,49,40,0,14,88,28,28,28,28,28,2818.26612001
70,90,29,41,61,22,22,22,22,22,22,227160.301077
59,3,5,11,45,62,98,98,98,98,98,91188.4233698
42,53,94,17,14,46,31,31,31,31,31,2900.02263547
87,24,72,79,64,6,46,46,46,46,46,262280.822007
92,1,38,80,73,43,4,4,4,4,4,389146.847582
7,76,95,38,91,58,46,46,46,46,46,753716.320549
94,12,66,52,49,73,18,18,18,18,18,117803.547753
95,34,4,59,33,48,45,45,45,45,45,36054.6255493
92,15,73,31,65,91,24,24,24,24,24,274799.35028
60,33,1,26,25,99,67,67,67,67,67,15719.7596498
24,50,22,86,65,5,93,93,93,93,93,274656.9578
97,49,99,22,98,8,12,12,12,12,12,941341.257269
1,52,53,6,10,4,82,82,82,82,82,1105.02535312
7,97,38,88,59,71,96,96,96,96,96,205460.857349
39,12,32,72,23,37,32,32,32,32,32,12231.8149483
69,90,37,84,89,12,12,12,12,12,12,705156.19289
27,94,66,54,90,27,89,89,89,89,89,729069.387524
61,8,9,5,6,93,38,38,38,38,38,292.955941698
99,45,19,72,99,55,11,11,11,11,11,970455.544482
3,95,23,16,6,49,31,31,31,31,31,306.621959583
6,94,95,42,66,52,81,81,81,81,81,287573.029792
12,35,50,16,66,12,89,89,89,89,89,287542.725703
45,54,75,4,35,32,63,63,63,63,63,42964.0685889
51,59,93,33,100,84,33,33,33,33,33,1000182.56745
54,62,47,73,85,4,66,66,66,66,66,614179.494159
28,87,74,92,37,67,22,22,22,22,22,50682.7223821
27,16,80,55,100,80,12,12,12,12,12,1000101.39379
59,54,86,98,39,61,30,30,30,30,30,59433.2520095
11,31,100,34,9,53,9,9,9,9,9,828.003915681
96,78,13,17,23,21,36,36,36,36,36,12315.1289221
23,11,55,69,33,8,9,9,9,9,9,36003.8853229
35,98,41,5,19,55,36,36,36,36,36,6877.84965227
42,38,55,21,96,59,85,85,85,85,85,884845.098662
51,44,75,97,4,83,71,71,71,71,71,191.158492444
39,70,23,56,97,76,10,10,10,10,10,912788.650797
72,95,61,50,48,68,90,90,90,90,90,110789.647488
15,4,69,82,32,9,100,100,100,100,100,32849.2860188
99,57,87,17,19,99,23,23,23,23,23,7068.89999356
20,47,4,14,81,81,57,57,57,57,57,531471.798544
72,14,25,0,35,80,87,87,87,87,87,42985.868503
90,18,91,18,25,2,16,16,16,16,16,15791.7852333
70,30,100,66,66,18,35,35,35,35,35,287636.3325
100,2,83,83,62,5,98,98,98,98,98,238513.78696
9,1,9,87,36,77,41,41,41,41,41,46674.0196531
48,85,90,65,36,43,33,33,33,33,33,46779.860401
33,58,66,24,60,74,24,24,24,24,24,216155.681035
67,29,55,77,68,100,100,100,100,100,100,314535.754138
13,16,22,6,37,61,51,51,51,51,51,50683.1141314
14,32,69,11,84,94,6,6,6,6,6,592803.645664
15,1,45,38,1,61,76,76,76,76,76,62.1378395635
