98,56,78,98,89,15,7,7,7,7,7,705115.219762
2,43,92,83,68,10,19,19,19,19,19,314491.202051
57,20,95,45,11,68,1,1,1,1,1,1502.10980854
37,46,61,77,25,5,52,52,52,52,52,15765.4817851
19,29,99,37,34,55,2,2,2,2,2,39402.1110792
30,47,32,96,29,59,95,95,95,95,95,24457.7915245
16,40,50,80,29,90,46,46,46,46,46,24483.8106378
25,84,52,8,40,5,15,15,15,15,15,64139.577346
97,33,98,60,26,54,93,93,93,93,93,17803.6922808
12,40,22,78,71,92,44,44,44,44,44,357975.318505
91,40,63,18,37,20,54,54,54,54,54,50836.0535392
34,60,44,0,45,45,80,80,80,80,80,91184.7113627
4,82,40,35,67,34,15,15,15,15,15,300832.256577
69,79,33,64,63,14,52,52,52,52,52,250114.835125
52,97,52,91,47,59,87,87,87,87,87,103963.927938
3,100,80,72,43,45,14,14,14,14,14,79539.6172593
80,53,24,37,11,84,64,64,64,64,64,1455.34049483
60,27,17,94,58,6,40,40,40,40,40,195214.576898
48,15,18,3,5,84,13,13,13,13,13,200.89543761
35,69,16,22,97,50,33,33,33,33,33,912716.070997
15,64,9,95,65,12,40,40,40,40,40,274708.564928
24,27,4,19,63,13,69,69,69,69,69,250100.972027
22,21,16,19,18,94,81,81,81,81,81,5887.71964562
17,71,25,69,92,83,60,60,60,60,60,778797.410096
47,54,2,66,80,36,13,13,13,13,13,512018.79884
91,90,100,17,26,11,96,96,96,96,96,17846.4983022
58,50,22,9,18,32,25,25,25,25,25,5899.2933758
67,97,75,27,95,39,80,80,80,80,80,857554.778327
27,53,28,96,94,98,31,31,31,31,31,830660.967621
5,47,81,100,6,47,91,91,91,91,91,307.301571128
69,56,83,99,98,19,11,11,11,11,11,941313.793937
65,79,40,9,74,53,81,81,81,81,81,405294.327218
92,53,37,0,42,70,37,37,37,37,37,74237.984033
22,47,96,20,33,41,70,70,70,70,70,36061.720882
62,42,29,33,37,35,0,0,0,0,0,50706.5060068
95,20,92,47,85,4,29,29,29,29,29,614330.382612
45,23,58,10,79,17,29,29,29,29,29,493121.99291
60,34,32,63,34,21,63,63,63,63,63,39414.156167
5,9,11,46,73,55,55,55,55,55,55,389037.610855
93,55,59,37,98,54,29,29,29,29,29,941288.369927
36,62,11,78,93,77,95,95,95,95,95,804358.684775
6,42,56,25,71,57,51,51,51,51,51,357934.373743
67,72,47,12,54,37,45,45,45,45,45,157595.738709
15,83,4,28,73,9,3,3,3,3,3,389116.645156
29,73,70,16,2,53,7,7,7,7,7,57.3077438306
26,28,71,39,23,80,97,97,97,97,97,12272.5491575
44,48,14,53,21,8,47,47,47,47,47,9282.51970141
92,96,29,88,48,64,69,69,69,69,69,110807.459822
25,4,43,47,4,35,23,23,23,23,23,129.096363142
67,10,74,39,9,71,36,36,36,36,36,865.523584277
81,60,88,81,69,81,59,59,59,59,59,328659.081475
78,65,44,48,87,96,28,28,28,28,28,658677.97561
28,3,95,42,69,3,65,65,65,65,65,328631.509527
91,84,58,49,63,91,89,89,89,89,89,250256.634234
57,59,26,40,10,54,48,48,48,48,48,1121.31265558
41,51,2,61,44,65,73,73,73,73,73,85260.2155702
1,16,55,17,48,56,72,72,72,72,72,110642.432149
94,57,46,17,78,68,13,13,13,13,13,474715.899994
52,88,28,47,57,49,94,94,94,94,94,185276.238624
